"ZDB-GENE-091113-6","ank1b","GO:0044325","","ion channel binding","Danio rerio","IBA"
"ZDB-GENE-030707-3","anxa6","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-040513-2","asic1a","GO:0005261","","cation channel activity","Danio rerio","IGI"
"ZDB-GENE-040513-2","asic1a","GO:0044736","","acid-sensing ion channel activity","Danio rerio","ISS"
"ZDB-GENE-040513-1","asic1b","GO:0044736","","acid-sensing ion channel activity","Danio rerio","ISS"
"ZDB-GENE-040513-3","asic1c","GO:0005261","","cation channel activity","Danio rerio","IGI"
"ZDB-GENE-040513-3","asic1c","GO:0005261","","cation channel activity","Danio rerio","IPI"
"ZDB-GENE-040513-3","asic1c","GO:0005261","","cation channel activity","Danio rerio","IPI"
"ZDB-GENE-040513-3","asic1c","GO:0044736","","acid-sensing ion channel activity","Danio rerio","ISS"
"ZDB-GENE-040513-5","asic4a","GO:0005261","","cation channel activity","Danio rerio","IPI"
"ZDB-GENE-040513-6","asic4b","GO:0005261","","cation channel activity","Danio rerio","IPI"
"ZDB-GENE-040724-26","cacna1aa","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040724-26","cacna1aa","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090514-3","cacna1ab","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090514-3","cacna1ab","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060531-44","cacna1ba","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060531-44","cacna1ba","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090514-4","cacna1bb","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090514-4","cacna1bb","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020129-1","cacna1c","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020129-1","cacna1c","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030616-135","cacna1da","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030616-135","cacna1da","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040525-3","cacna1db","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040525-3","cacna1db","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081104-526","cacna1ea","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081104-526","cacna1ea","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070705-133","cacna1eb","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070705-133","cacna1eb","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091204-7","cacna1fa","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091204-7","cacna1fa","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-031104-1","cacna1fb","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-031104-1","cacna1fb","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090514-2","cacna1g","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090514-2","cacna1g","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090514-2","cacna1g","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-130103-1","cacna1ha","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-130103-1","cacna1ha","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-130103-1","cacna1ha","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-090312-128","cacna1hb","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-128","cacna1hb","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090312-128","cacna1hb","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-060503-324","cacna1ia","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060503-324","cacna1ia","GO:0005261","","cation channel activity","Danio rerio","IBA"
"ZDB-GENE-120215-18","cacna1ib","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120215-18","cacna1ib","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120215-18","cacna1ib","GO:0005261","","cation channel activity","Danio rerio","IBA"
