"ZDB-GENE-080220-43","asmt","GO:0017096","","acetylserotonin O-methyltransferase activity","Danio rerio","IBA"
"ZDB-GENE-070410-45","asmt2","GO:0017096","","acetylserotonin O-methyltransferase activity","Danio rerio","IBA"
"ZDB-GENE-090410-9","chrm1a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-9","chrm1a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-030314-1","chrm2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-030314-1","chrm2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-030314-1","chrm2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-030314-1","chrm2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-3","chrm2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-3","chrm2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-3","chrm2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-4","chrm3a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-4","chrm3a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-4","chrm3a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-5","chrm3b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-5","chrm3b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-6","chrm4a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-6","chrm4a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-7","chrm4b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090410-7","chrm4b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-080723-32","chrm5a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-080723-32","chrm5a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-041001-169","chrm5b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-041001-169","chrm5b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-041001-169","chrm5b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-041001-169","chrm5b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-040426-2656","ddc","GO:0042427","","serotonin biosynthetic process","Danio rerio","IBA"
"ZDB-GENE-070508-3","drd4b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070508-3","drd4b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070508-3","drd4b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070508-3","drd4b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070508-3","drd4b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-101107-1","fmn2a","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-040808-7","gna14","GO:0031826","","type 2A serotonin receptor binding","Danio rerio","IBA"
"ZDB-GENE-081105-76","gna14a","GO:0031826","","type 2A serotonin receptor binding","Danio rerio","IBA"
"ZDB-GENE-040426-1310","gnai1","GO:0031821","","G protein-coupled serotonin receptor binding","Danio rerio","IBA"
"ZDB-GENE-040426-1757","gnao1a","GO:0031821","","G protein-coupled serotonin receptor binding","Danio rerio","IBA"
"ZDB-GENE-040426-1693","gnao1b","GO:0031821","","G protein-coupled serotonin receptor binding","Danio rerio","IBA"
"ZDB-GENE-081104-25","gnaq","GO:0031826","","type 2A serotonin receptor binding","Danio rerio","IBA"
"ZDB-GENE-030710-9","gpm6ba","GO:0051612","","negative regulation of serotonin uptake","Danio rerio","IBA"
"ZDB-GENE-030710-10","gpm6bb","GO:0051612","","negative regulation of serotonin uptake","Danio rerio","IBA"
"ZDB-GENE-070928-20","hrh2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070928-20","hrh2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070928-20","hrh2b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-071203-1","htr1aa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-071203-1","htr1aa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-071203-1","htr1aa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-071203-1","htr1aa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-071203-1","htr1aa","GO:0007198","","adenylate cyclase-inhibiting serotonin receptor signaling pathway","Danio rerio","IBA"
"ZDB-GENE-071203-1","htr1aa","GO:0051378","","serotonin binding","Danio rerio","IBA"
"ZDB-GENE-090409-2","htr1ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090409-2","htr1ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090409-2","htr1ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090409-2","htr1ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-090409-2","htr1ab","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-090409-2","htr1ab","GO:0007198","","adenylate cyclase-inhibiting serotonin receptor signaling pathway","Danio rerio","IBA"
"ZDB-GENE-090409-2","htr1ab","GO:0051378","","serotonin binding","Danio rerio","IBA"
"ZDB-GENE-081022-141","htr1b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081022-141","htr1b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081022-141","htr1b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081022-141","htr1b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081022-141","htr1b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-081022-141","htr1b","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-090409-3","htr1d","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090409-3","htr1d","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090409-3","htr1d","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090409-3","htr1d","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090409-3","htr1d","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-090409-3","htr1d","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-081105-125","htr1fa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081105-125","htr1fa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081105-125","htr1fa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-081105-125","htr1fa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-081105-125","htr1fa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-081105-125","htr1fa","GO:0007198","","adenylate cyclase-inhibiting serotonin receptor signaling pathway","Danio rerio","IBA"
"ZDB-GENE-081105-125","htr1fa","GO:0051378","","serotonin binding","Danio rerio","IBA"
"ZDB-GENE-090312-140","htr1fb","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090312-140","htr1fb","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090312-140","htr1fb","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-090312-140","htr1fb","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-090312-140","htr1fb","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
"ZDB-GENE-090312-140","htr1fb","GO:0007198","","adenylate cyclase-inhibiting serotonin receptor signaling pathway","Danio rerio","IBA"
"ZDB-GENE-090312-140","htr1fb","GO:0051378","","serotonin binding","Danio rerio","IBA"
"ZDB-GENE-070912-500","htr2aa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070912-500","htr2aa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070912-500","htr2aa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IBA"
"ZDB-GENE-070912-500","htr2aa","GO:0004993","","G protein-coupled serotonin receptor activity","Danio rerio","IEA"
