"ZDB-GENE-000201-9","anos1a","GO:0097154","","GABAergic neuron differentiation","Danio rerio","IMP"
"ZDB-GENE-060427-3","fgf16","GO:0097154","","GABAergic neuron differentiation","Danio rerio","IMP"
"ZDB-GENE-030904-5","gabbr1a","GO:0004965","","G protein-coupled GABA receptor activity","Danio rerio","IEA"
"ZDB-GENE-030904-5","gabbr1a","GO:0004965","","G protein-coupled GABA receptor activity","Danio rerio","IEA"
"ZDB-GENE-060503-5","gabbr1b","GO:0004965","","G protein-coupled GABA receptor activity","Danio rerio","IEA"
"ZDB-GENE-060503-5","gabbr1b","GO:0004965","","G protein-coupled GABA receptor activity","Danio rerio","IEA"
"ZDB-GENE-060503-620","gabbr2","GO:0004965","","G protein-coupled GABA receptor activity","Danio rerio","IEA"
"ZDB-GENE-060503-620","gabbr2","GO:0004965","","G protein-coupled GABA receptor activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-061013-194","gabra1","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-061013-194","gabra1","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-141216-16","gabra2a","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-141216-16","gabra2a","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-141216-16","gabra2a","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-141216-16","gabra2a","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-091204-365","gabra3","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-091204-365","gabra3","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-091204-365","gabra3","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-050417-360","gabra4","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-050417-360","gabra4","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-050417-360","gabra4","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-081104-30","gabra5","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-081104-30","gabra5","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-081104-30","gabra5","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-040426-1692","gabra6a","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-040426-1692","gabra6a","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-040426-1692","gabra6a","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-080815-1","gabra6b","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-080815-1","gabra6b","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-080815-1","gabra6b","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-090313-230","gabrb1","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-090313-230","gabrb1","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-090313-230","gabrb1","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-030131-8196","gabrb2a","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-030131-8196","gabrb2a","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-030131-8196","gabrb2a","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-111215-5","gabrb2b","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-101102-2","gabrb3","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-101102-2","gabrb3","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-101102-2","gabrb3","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-070424-211","gabrb4","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-070424-211","gabrb4","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-070424-211","gabrb4","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-081105-170","gabrd","GO:0004890","contributes_to","GABA-A receptor activity","Danio rerio","IBA"
"ZDB-GENE-081105-170","gabrd","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-081105-170","gabrd","GO:1902711","","GABA-A receptor complex","Danio rerio","IBA"
"ZDB-GENE-141215-66","gabrg1","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
"ZDB-GENE-091118-65","gabrg2","GO:0004890","","GABA-A receptor activity","Danio rerio","IEA"
